"module name","license","repository"
"@aashutoshrathi/word-wrap@1.2.6","MIT","https://github.com/aashutoshrathi/word-wrap"
"@ampproject/remapping@2.3.0","Apache-2.0","https://github.com/ampproject/remapping"
"@angular-devkit/architect@0.1802.12","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-angular@18.2.12","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/build-webpack@0.1802.12","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/core@18.2.12","MIT","https://github.com/angular/angular-cli"
"@angular-devkit/schematics@18.2.12","MIT","https://github.com/angular/angular-cli"
"@angular-eslint/builder@18.2.0","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/bundled-angular-compiler@18.2.0","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/bundled-angular-compiler@18.4.1","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/eslint-plugin-template@18.2.0","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/eslint-plugin-template@18.4.1","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/eslint-plugin@18.2.0","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/eslint-plugin@18.4.1","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/schematics@18.4.1","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/template-parser@18.2.0","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/utils@18.2.0","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular-eslint/utils@18.4.1","MIT","https://github.com/angular-eslint/angular-eslint"
"@angular/animations@18.2.13","MIT","https://github.com/angular/angular"
"@angular/build@18.2.12","MIT","https://github.com/angular/angular-cli"
"@angular/cdk@18.2.14","MIT","https://github.com/angular/components"
"@angular/cli@18.2.12","MIT","https://github.com/angular/angular-cli"
"@angular/common@18.2.13","MIT","https://github.com/angular/angular"
"@angular/compiler-cli@18.2.13","MIT","https://github.com/angular/angular"
"@angular/compiler@18.2.13","MIT","https://github.com/angular/angular"
"@angular/core@18.2.13","MIT","https://github.com/angular/angular"
"@angular/forms@18.2.13","MIT","https://github.com/angular/angular"
"@angular/localize@18.2.13","MIT","https://github.com/angular/angular"
"@angular/material@18.2.14","MIT","https://github.com/angular/components"
"@angular/platform-browser-dynamic@18.2.13","MIT","https://github.com/angular/angular"
"@angular/platform-browser@18.2.13","MIT","https://github.com/angular/angular"
"@angular/router@18.2.13","MIT","https://github.com/angular/angular"
"@babel/code-frame@7.26.2","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.26.2","MIT","https://github.com/babel/babel"
"@babel/core@7.25.2","MIT","https://github.com/babel/babel"
"@babel/generator@7.25.0","MIT","https://github.com/babel/babel"
"@babel/generator@7.26.2","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-annotate-as-pure@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-builder-binary-assignment-operator-visitor@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-create-class-features-plugin@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-create-regexp-features-plugin@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-define-polyfill-provider@0.6.3","MIT","https://github.com/babel/babel-polyfills"
"@babel/helper-member-expression-to-functions@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.26.0","MIT","https://github.com/babel/babel"
"@babel/helper-optimise-call-expression@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-remap-async-to-generator@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-replace-supers@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-skip-transparent-expression-wrappers@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.24.7","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helper-wrap-function@7.25.9","MIT","https://github.com/babel/babel"
"@babel/helpers@7.26.0","MIT","https://github.com/babel/babel"
"@babel/parser@7.26.2","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-firefox-class-in-computed-class-key@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-class-field-initializer-scope@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly@7.25.9","MIT","https://github.com/babel/babel"
"@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2","MIT","https://github.com/babel/babel-plugin-proposal-private-property-in-object"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-class-static-block@7.14.5","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-dynamic-import@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"@babel/plugin-syntax-export-namespace-from@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-export-namespace-from"
"@babel/plugin-syntax-import-assertions@7.26.0","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-attributes@7.24.7","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-json-strings@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-json-strings"
"@babel/plugin-syntax-logical-assignment-operators@7.10.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-nullish-coalescing-operator@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-nullish-coalescing-operator"
"@babel/plugin-syntax-numeric-separator@7.10.4","MIT","https://github.com/babel/babel"
